Dataset,Dataset Label,Variable,Type,Role,Origin,Comment
ADTTE,Time-to-Event Analysis Dataset,AGEGR1,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,SEX,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,ECOG,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,STAGE,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,PDL1CAT,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,REGION,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,FASFL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,STUDYID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,USUBJID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,TRT01P,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,TRT01PN,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,SAFFL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,TRTSDT,datetime64[ns],Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,TRTEDT,datetime64[ns],Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AESEQ,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AEBODSYS,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AEDECOD,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AETERM,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AESTDT,datetime64[ns],Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AEENDT,datetime64[ns],Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,ASTDY,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AENDY,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AETOXGR,int64,Analysis,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AESER,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AEREL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AEACN,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AEOUT,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AESDTH,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,TRTEMFL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AOCCFL,object,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADAE,Adverse Event Analysis Dataset,AOCCSFL,object,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,STUDYID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,USUBJID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,TRT01P,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,TRT01PN,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,PARAM,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,PARAMCD,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,BOR,object,Analysis,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,BORNUM,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,ORRFL,object,Analysis,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,DCRFL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,BESTPCHG,float64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,ANL01FL,object,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,FASFL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,PDL1CAT,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADRS,Tumor Response Analysis Dataset,ECOG,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,STUDYID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,USUBJID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,TRT01P,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,TRT01PN,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,PARAM,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,PARAMCD,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,BASEGR,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,WORSTGR,int64,Analysis,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,SHIFT,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,ANL01FL,object,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADLB,Laboratory Shift Analysis Dataset,SAFFL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
